,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
1,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,42.8681,10,AT02,2.9615,9.1183,197.9930927,9.474857604,191.0734331,9.839911537,1.038528699,-6.919659602,-0.460632003,0.807528921,2.493031234,0.497985611,30.84202293,0.161374263
2,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,34.4572,5,AT02,5.1405,8.4183,211.409657,9.865220702,206.8469792,8.400381394,0.851514796,-4.56267783,0.260980907,0.759277949,32.99542943,0.553410517,-104.7535492,0.035726893
3,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,51.4013,15,AT02,4.6002,8.7598,207.7061638,9.919741174,213.0988385,8.010849623,0.807566395,5.392674766,-3.5178358,0.836276329,-4.345033095,0.971341282,108.0074194,0.139332291
4,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,42.1641,13,AT02,4.4025,8.3463,207.8107164,9.43181028,201.9815054,7.447590457,0.78962471,-5.82921104,-0.767943946,0.884349581,27.31864006,0.823109176,49.67369338,0.353617345
5,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,45.7048,3,AT02,6.7427,7.1497,223.3219088,9.821602342,189.0497672,8.856254491,0.901711776,-34.27214164,-2.623010571,0.789953743,9.63517763,0.548907597,24.76665113,0.798043171
6,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,585.8782,22,AT02,6.863,6.6821,225.7651616,9.573120589,227.5938265,5.728059589,0.598348212,1.828664898,-4.861666798,0.777377297,-1.250352399,0.594203391,65.6932307,0.275007067
7,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,48.4061,1,AT02,8.2079,5.1877,237.7055812,9.686410525,215.1948003,11.25897141,1.162347123,-22.5107809,-7.057914367,0.87047404,-28.42308889,0.699478659,13.11198114,0.944506681
8,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,41.5505,28,AT02,2.5355,-9.4114,344.9220806,9.702934102,319.9703788,9.076258113,0.935413764,24.95170184,1.79957242,0.785775123,17.94694947,0.576504914,33.77611104,0.21512767
9,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,37.6754,8,AT02,4.8687,-8.8024,331.0525573,10.05438882,326.9471579,8.745860979,0.869855059,4.105399372,-2.694839519,0.838318048,6.573010552,0.816092596,83.6246411,0.197659111
10,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,41.0696,23,AT02,4.5354,-8.706,332.4826913,9.816554698,322.9547008,7.45427493,0.759357551,9.527990586,-4.017621021,0.817559268,0.935771027,0.651146152,41.25437515,0.386438202
11,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,48.8655,9,AT02,6.9262,-6.8711,314.7711885,9.817607482,336.0096403,8.140528689,0.829176426,-21.23845175,-6.047139422,0.769951383,-12.04711943,0.927912869,27.12423389,0.606869624
12,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,40.1427,20,AT02,6.2484,-6.8589,317.6667438,9.278695475,338.1938756,8.349326671,0.899838419,-20.52713177,-8.461165726,0.761426934,3.492562776,0.768214724,60.47252262,0.338935264
13,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,52.8421,12,AT02,8.5668,-5.2573,301.5367353,10.02771878,281.6337686,14.99637555,1.495492233,19.90296668,-11.78112855,0.783361465,-21.31148936,0.724318619,12.71088917,0.933985642
14,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,30.123,17,AT02,2.6711,9.2878,196.0448292,9.643877764,179.8625179,6.167917756,0.639568222,-16.1823113,-0.516695838,0.83036011,19.88369941,0.770157259,67.65967625,0.213816668
15,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,31.0057,26,AT02,3.9169,8.6995,204.2393829,9.453462395,164.8827984,10.01581741,1.059486672,-39.3565845,-0.798911037,0.771577227,-12.44635508,0.404414347,-38.69315731,0.131490008
16,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,38.7794,14,AT02,4.3317,8.7208,206.4140052,9.732593024,188.0021591,9.797399002,1.006658655,-18.4118461,-5.121157019,0.878716838,3.780565274,0.923613355,42.8424988,0.346133896
17,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,35.7646,24,AT02,6.3756,7.2086,221.4909457,9.62710991,192.7013375,7.563490254,0.785644947,-28.78960818,-4.299281174,0.821889568,21.61482153,0.733574879,30.9175522,0.644579108
18,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,41.3151,18,AT02,6.4463,7.4446,220.8893804,9.850308067,207.5457414,9.05901224,0.919667911,-13.343639,-8.987713054,0.796206878,-13.86878439,0.913612424,59.40810518,0.360700352
19,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,51.6914,27,AT02,7.811,5.5532,234.5892243,9.485821683,194.0817633,12.31487209,1.298239889,-40.50746108,-11.99531555,0.859142736,-21.6252269,0.780504225,15.66505809,0.986017034
20,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,30.1803,25,AT02,3.5707,-8.9862,338.3294171,9.609481764,14.28086753,7.078127179,0.736577409,-35.95145039,-4.020330095,0.820813271,5.844026853,0.553982678,55.18271079,0.309965066
21,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,28.728,11,AT02,4.7763,-8.0142,329.2059188,9.275783654,354.412406,7.957203776,0.857847064,-25.20648714,-0.491669878,0.757822149,18.44857117,0.349782526,-59.21811819,0.071187332
22,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,25.1987,4,AT02,4.7906,-8.1955,329.6919933,9.352222663,341.5055244,5.844018761,0.624880199,-11.81353115,-0.138657194,0.859793931,12.44790879,0.65843741,155.7030521,0.12903382
23,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,35.3511,21,AT02,4.3057,-8.0735,331.9284339,9.128158991,350.9025601,7.550883526,0.827207713,-18.97412617,-3.948481947,0.865545502,-1.856229475,1.042238705,39.35230155,0.423323166
24,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,49.2337,2,AT02,6.6779,-6.4525,314.0165417,9.624144471,275.4917281,12.50339024,1.29916901,38.52481367,-7.055628362,0.732670685,10.98138884,0.695358504,17.84004883,0.633603501
25,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,27.8573,6,AT02,6.4736,-6.2743,314.1043138,9.051574894,310.2429215,6.664244871,0.736252525,3.861392243,-3.263351493,0.751911692,13.60185978,0.606773812,59.39956635,0.343062059
26,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,42.2761,16,AT02,7.4934,-4.7731,302.4960714,9.337096103,301.6029799,12.20079157,1.306700867,0.893091557,-7.42544573,0.701908139,-0.281321847,0.587777428,13.58036346,0.825785665
27,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,44.3311,6,AT03,2.8202,8.9041,197.5745825,9.25609814,250.2118113,11.29868055,1.220674239,52.63722875,19.35823157,0.55058114,-5.595768887,0.975192343,81.02824556,0.763190349
28,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,60.3264,1,AT03,4.745,7.7214,211.5718006,9.028485434,170.3649953,7.362007827,0.815420026,-41.20680538,11.65729561,0.840747316,10.72761321,0.974825229,116.9426802,0.509262817
