"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"1",0,6,60,80,40,4.042,6,5.299,15.19253332,"RH","off","scale","acute","60-80-40",46.0745,30,"DT02",1.16019883,73.48589591,60.4743059581885,0.844691691027985,93.9960770431891,0.80959065759035,49.7750540995808,0.715113326859648
"2",0,6,60,80,40,4.042,6,5.299,15.19253332,"RH","off","scale","acute","60-80-40",29.9781,7,"DT02",1.016329948,31.52667191,57.0060832029542,0.779173689128843,74.4159783334914,1.0295507859653,27.8374487345773,0.851198162203231
"3",0,6,60,80,40,4.042,6,5.299,15.19253332,"RH","off","scale","acute","60-80-40",48.1059,15,"DT02",0.447292695,122.5650222,44.7203121905146,0.843826874161911,99.4021739977907,0.370606749501104,32.9925881773668,0.806072032645089
"4",0,6,60,80,40,4.042,6,5.299,15.19253332,"RH","off","scale","acute","60-80-40",33.4409,23,"DT02",1.374793987,38.99507869,61.3832917909127,0.995319403113276,67.3783497174488,0.592680834882737,30.2423239959026,0.572671949602458
"5",1,10,60,80,40,6.736,10,8.832,25.32088886,"RH","off","scale","acute","60-80-40",44.5098,21,"DT02",1.030430303,51.10383256,59.1971353095656,0.881660101610687,82.7629759139584,0.951647269785884,31.1206220120651,0.744996730766803
"6",1,10,60,80,40,6.736,10,8.832,25.32088886,"RH","off","scale","acute","60-80-40",40.7908,29,"DT02",1.063423148,68.99674554,56.4608737817964,0.93407493243955,57.9014436896841,0.703420411268343,20.0543333105574,0.720220829940663
"7",1,10,60,80,40,6.736,10,8.832,25.32088886,"RH","off","scale","acute","60-80-40",44.1747,3,"DT02",1.17519337,70.51890534,59.3899181084777,0.796830181474314,74.4253916742364,0.919294277513639,5.61179178590706,0.701826591974028
"8",2,50,60,80,40,33.682,50,44.163,126.6044443,"RH","off","scale","acute","60-80-40",124.8837,2,"DT02",1.162768117,47.92242293,58.4876680137499,0.857015966169173,60.7634439846082,0.874466030250835,14.5993346500107,0.728041116956493
"9",2,50,60,80,40,33.682,50,44.163,126.6044443,"RH","off","scale","acute","60-80-40",94.8837,10,"DT02",0.372683344,36.37233012,57.1915423601327,0.86077339169401,59.5883014353875,0.860981688303768,24.3157523736984,0.802632028534019
"10",2,50,60,80,40,33.682,50,44.163,126.6044443,"RH","off","scale","acute","60-80-40",109.5276,17,"DT02",0.94728444,23.49682665,60.8490786146133,0.835056138964352,67.2553523019587,0.809327002745749,16.9014543485951,0.792959201660862
