"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"1",0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","off","scale","obtuse","60-100-20",42.8681,10,"AT02",1.038528699,-6.919659602,-0.460632003133526,0.807528921432666,2.49303123399955,0.497985610500054,30.8420229275185,0.161374262678762
"2",1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","off","iso","obtuse","30-120-30",34.4572,5,"AT02",0.851514796,-4.56267783,0.260980906938983,0.759277948879924,32.9954294250306,0.553410517087458,-104.75354916967,0.03572689258386
"3",2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","off","scale","obtuse","45-105-30",51.4013,15,"AT02",0.807566395,5.392674766,-3.51783579972806,0.836276329358851,-4.34503309535529,0.97134128210642,108.007419402377,0.139332291329843
"4",3,10,60,90,30,8.660254038,10,5,23.66025404,"RH","off","right","right","60-90-30",42.1641,13,"AT02",0.78962471,-5.82921104,-0.767943946354052,0.88434958100015,27.3186400630373,0.823109176259849,49.6736933782763,0.353617345219922
"5",4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","off","scale","acute","60-75-45",45.7048,3,"AT02",0.901711776,-34.27214164,-2.62301057146979,0.789953743166026,9.63517763034221,0.54890759687378,24.7666511296654,0.798043170791178
"6",5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","off","iso-right","iso-right","45-90-45",585.8782,22,"AT02",0.598348212,1.828664898,-4.86166679777094,0.777377297373554,-1.25035239927834,0.594203390997893,65.6932307042783,0.275007066726376
"7",6,10,60,60,60,10,10,10,30,"RH","off","equil","acute","60-60-60",48.4061,1,"AT02",1.162347123,-22.5107809,-7.05791436674662,0.870474039644944,-28.423088892306,0.699478659206056,13.1119811402462,0.9445066810354
"8",7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","off","scale","obtuse","60-100-20",41.5505,28,"AT02",0.935413764,24.95170184,1.7995724202973,0.78577512345899,17.9469494728407,0.576504913778444,33.7761110421172,0.215127669605598
"9",9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","off","scale","obtuse","45-105-30",37.6754,8,"AT02",0.869855059,4.105399372,-2.69483951926304,0.838318048456236,6.57301055237235,0.816092595963592,83.6246410993615,0.197659110824034
"10",10,10,60,90,30,8.660254038,10,5,23.66025404,"LH","off","right","right","60-90-30",41.0696,23,"AT02",0.759357551,9.527990586,-4.01762102102424,0.817559267801377,0.935771026923192,0.651146151603433,41.2543751534826,0.386438201994051
"11",11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","off","scale","acute","60-75-45",48.8655,9,"AT02",0.829176426,-21.23845175,-6.04713942204313,0.769951383325692,-12.0471194329847,0.927912868615559,27.1242338877425,0.60686962393154
"12",12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","off","iso-right","iso-right","45-90-45",40.1427,20,"AT02",0.899838419,-20.52713177,-8.46116572609401,0.76142693359508,3.4925627759514,0.768214723821866,60.4725226197166,0.338935264369712
"13",13,10,60,60,60,10,10,10,30,"LH","off","equil","acute","60-60-60",52.8421,12,"AT02",1.495492233,19.90296668,-11.7811285506966,0.78336146453417,-21.3114893612669,0.72431861889114,12.7108891683106,0.933985642464365
"14",14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","on","scale","obtuse","60-100-20",30.123,17,"AT02",0.639568222,-16.1823113,-0.516695837865086,0.83036011030769,19.8836994092722,0.770157259182568,67.6596762537044,0.213816668276499
"15",15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","on","iso","obtuse","30-120-30",31.0057,26,"AT02",1.059486672,-39.3565845,-0.798911037142886,0.771577226876606,-12.4463550753253,0.404414347358289,-38.6931573089472,0.131490008302997
"16",17,10,60,90,30,8.660254038,10,5,23.66025404,"RH","on","right","right","60-90-30",38.7794,14,"AT02",1.006658655,-18.4118461,-5.12115701919845,0.878716838115748,3.78056527411209,0.92361335453391,42.8424988004861,0.346133895929808
"17",18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","on","scale","acute","60-75-45",35.7646,24,"AT02",0.785644947,-28.78960818,-4.29928117359407,0.821889568423253,21.6148215301665,0.733574879429163,30.9175521954048,0.644579107894793
"18",19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","on","iso-right","iso-right","45-90-45",41.3151,18,"AT02",0.919667911,-13.343639,-8.98771305419882,0.796206877954423,-13.8687843920275,0.913612423546957,59.4081051825888,0.360700351954046
"19",20,10,60,60,60,10,10,10,30,"RH","on","equil","acute","60-60-60",51.6914,27,"AT02",1.298239889,-40.50746108,-11.9953155501712,0.859142736296725,-21.62522689673,0.780504225015065,15.6650580903872,0.986017034154974
"20",21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","on","scale","obtuse","60-100-20",30.1803,25,"AT02",0.736577409,-35.95145039,-4.02033009463901,0.820813270750097,5.84402685314302,0.553982678140396,55.1827107857634,0.30996506613742
"21",22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","on","iso","obtuse","30-120-30",28.728,11,"AT02",0.857847064,-25.20648714,-0.491669877943593,0.757822148964121,18.4485711734181,0.349782526205051,-59.2181181884442,0.0711873319401097
"22",23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","on","scale","obtuse","45-105-30",25.1987,4,"AT02",0.624880199,-11.81353115,-0.138657194084772,0.859793930547559,12.4479087905781,0.658437410053937,155.70305208054,0.12903382019315
"23",24,10,60,90,30,8.660254038,10,5,23.66025404,"LH","on","right","right","60-90-30",35.3511,21,"AT02",0.827207713,-18.97412617,-3.94848194735289,0.865545501938214,-1.8562294753221,1.0422387045507,39.3523015530228,0.423323166499436
"24",25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","on","scale","acute","60-75-45",49.2337,2,"AT02",1.29916901,38.52481367,-7.05562836163091,0.732670684569308,10.9813888393496,0.695358504228043,17.8400488289068,0.633603501317048
"25",26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","on","iso-right","iso-right","45-90-45",27.8573,6,"AT02",0.736252525,3.861392243,-3.26335149268556,0.751911691806942,13.6018597756134,0.606773812110756,59.3995663501619,0.343062059456484
"26",27,10,60,60,60,10,10,10,30,"LH","on","equil","acute","60-60-60",42.2761,16,"AT02",1.306700867,0.893091557,-7.42544572970365,0.701908138834603,-0.281321847331128,0.587777428238058,13.5803634558043,0.825785664831899
"27",0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","off","scale","obtuse","60-100-20",44.3311,6,"AT03",1.220674239,52.63722875,19.3582315722754,0.550581139744061,-5.59576888658722,0.975192343374248,81.0282455589274,0.763190349043881
"28",1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","off","iso","obtuse","30-120-30",60.3264,1,"AT03",0.815420026,-41.20680538,11.6572956109396,0.840747316129413,10.7276132129376,0.974825229292174,116.942680172734,0.509262817056943
"29",2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","off","scale","obtuse","45-105-30",41.1372,23,"AT03",1.352471184,73.0843627,19.9989700640575,0.777996936004565,7.49657621807265,0.778353827921562,88.6560254056701,0.676321301802116
"30",4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","off","scale","acute","60-75-45",44.376,26,"AT03",1.131118553,15.59767117,24.9301805030484,0.921233411577808,1.90371851892655,0.929007433319167,56.9714664424759,0.97365703665499
"31",8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","off","iso","obtuse","30-120-30",40.5444,5,"AT03",0.407837802,-42.31853681,14.2586266862947,0.914691421383462,0.662884661994383,0.752953694615794,117.851772489119,0.498771425133136
"32",9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","off","scale","obtuse","45-105-30",49.4355,13,"AT03",1.326994328,38.33740908,25.2884520260797,0.807465626566652,-4.00417176601297,0.868610691114827,94.7294624467112,0.562600409109022
"33",11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","off","scale","acute","60-75-45",42.9573,9,"AT03",0.909511486,-12.35813163,22.6983236794009,0.910561842480258,3.60887282257335,0.781881865215898,49.718367316702,0.862000631135955
"34",12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","off","iso-right","iso-right","45-90-45",38.4224,28,"AT03",0.935890533,12.09097024,20.4873989945011,0.777985115409615,8.80802437163493,0.958650300887601,75.9339248599557,0.831519539571069
"35",13,10,60,60,60,10,10,10,30,"LH","off","equil","acute","60-60-60",52.6754,8,"AT03",1.241033777,34.07180344,26.0230310880059,1.02284398475313,2.33025906519629,0.843097592993826,47.4405003736099,1.09435816531051
"36",14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","on","scale","obtuse","60-100-20",32.3023,19,"AT03",0.841532107,31.32887978,5.77931474850465,0.609947364698185,19.1594164035708,0.851880869574963,85.0864965772615,0.653579172933651
"37",15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","on","iso","obtuse","30-120-30",39.0932,12,"AT03",1.169487441,87.05330467,6.47672913004826,0.860428680612214,-5.14847460276866,0.905033168389043,114.703314869697,0.515189607447987
"38",16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","on","scale","obtuse","45-105-30",30.7613,17,"AT03",0.721705895,48.36633588,23.2094775616286,0.736137358498588,-6.07737060240413,0.930899532334435,91.5106794559798,0.631725510289688
"39",17,10,60,90,30,8.660254038,10,5,23.66025404,"RH","on","right","right","60-90-30",28.7273,24,"AT03",0.853887719,53.83726796,22.8761518006052,0.791322007150262,-0.804964594613807,0.79822080498838,75.6299638503088,0.829506942755451
"40",18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","on","scale","acute","60-75-45",40.1309,11,"AT03",0.827601821,63.40550409,25.2317001630239,0.830002660841563,7.81053122326838,1.03890908562058,63.3188240635909,0.884463911133085
"41",20,10,60,60,60,10,10,10,30,"RH","on","equil","acute","60-60-60",41.9071,7,"AT03",0.96219061,44.01783619,33.9787563045195,0.966107107962158,16.6544741679515,0.978028282975948,45.88117783055,1.09496087989092
"42",21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","on","scale","obtuse","60-100-20",33.2393,20,"AT03",1.094675395,9.255660947,14.5622630597364,0.560105433140702,-3.34583941977354,0.876507548121885,90.8438593474681,0.668169010017072
